"MCL1","MYCN","GLI2","EGFR","CDK6","MET","FGFR1","MYC","CDKN2A.B","PTCH1","PTEN","CCND1","KRAS","CDK4","MDM2","RB1","TP53","NF1","ERBB2","CCNE1","Sample_Name"
0.082,0.253,-0.004,0.212,0.249,0.301,0.17,0.245,-0.158,0.013,0.122,-0.005,-0.049,-0.025,0.133,-0.106,-0.051,-0.115,0.041,0.129,"TCGA-DU-6407"
0.07,0.037,0.002,-0.098,-0.013,-0.104,0.036,0.17,0.086,-0.009,0.092,-0.025,-0.021,-0.031,0.013,-0.138,0.004,-0.184,0.078,0.045,"TCGA-CS-6290"
0.11,0.099,0.003,-0.024,0.29,0.186,0.001,0.127,0.162,-0.031,0.193,0.014,-0.131,0.108,0.085,-0.068,0.077,-0.217,0.091,0.014,"TCGA-DU-5872"
0.035,0.049,-0.034,-0.089,0.26,0.279,0.027,0.051,0.093,-0.03,0.1,-0.031,-0.054,-0.049,0.191,-0.015,0.005,-0.097,0.114,-0.025,"TCGA-DU-5849"
0.013,0.09,0.023,-0.042,0.053,-0.035,-0.069,0.037,-0.859,0.032,-0.116,-0.013,-0.027,-0.078,0.062,-0.334,0.017,-0.107,0.039,0.039,"TCGA-DU-5847"
0.025,0.091,0.042,0.061,0.166,0.178,0.012,0.072,0.023,0.035,0.085,-0.017,-0.103,-0.031,0.152,0.007,0.046,-0.164,-0.023,0.03,"TCGA-DU-6404"
0.05,-0.093,-0.018,-0.073,-0.045,0.044,0.016,0.198,0.184,-0.004,0.089,0.127,-0.213,-0.057,-0.07,-0.059,0.023,-0.106,0.02,0.077,"TCGA-DU-5871"
0.08,0.088,0.007,-0.075,0.005,-0.005,0.018,0.061,-0.031,0.035,0.082,0.144,-0.147,0.009,0.088,-0.008,0.034,-0.117,0.026,-0.072,"TCGA-DU-6393"
0.061,0.04,0.002,0.917,-0.05,0.006,0.018,0.081,-0.836,0.076,-0.148,0.057,-0.012,-0.032,0.124,-0.321,0.034,-0.095,-0.003,0.06,"TCGA-DU-5852"
0.105,0.032,-0.025,0.172,0.261,0.242,0.012,0.046,0.07,0.007,0.092,0.098,-0.104,-0.075,0.119,-0.043,-0.015,-0.113,0.028,-0.009,"TCGA-DU-6392"
-0.019,0.039,-0.003,0.018,0.188,-0.011,0.051,0.071,-0.223,0.044,0.127,-0.077,-0.006,-0.042,0.09,-0.153,-0.003,-0.158,-0.033,-0.036,"TCGA-FG-5963"
-0.04,0.091,-0.032,0.188,0.233,0.188,-0.011,0.096,-0.064,-0.026,0.12,0.013,0.215,-0.049,0.009,-0.015,0.016,-0.223,-0.002,0.041,"TCGA-DU-6395"
0.055,0.042,-0.001,-0.055,-0.03,-0.06,0.056,0.093,0.073,0.049,0.103,0.188,-0.024,-0.035,0.141,-0.038,0.031,-0.22,0.013,0.063,"TCGA-DU-5870"
-0.111,0.11,0.001,0.001,0.073,0.004,-0.057,0.189,-0.125,0.06,0.131,0.055,-0.094,0.006,0.099,-0.303,-0.027,-0.118,0.011,-0.106,"TCGA-FG-5964"
0.075,0.077,0,-0.068,0.023,-0.056,0.026,0.042,0.05,0.041,0.066,0.018,-0.115,-0.032,0.13,0.014,0.027,-0.164,0.018,-0.244,"TCGA-DU-5874"
