rep,fold,c_index,auc,brier,n_feat,sec
1,1,0.843137254901961,0.87836478091911,0.207925675680747,3,9.03441596031189
1,2,0.795618487843975,0.855742562520732,0.190264668838787,10,6.6889328956604
1,3,0.819891008174387,0.872751697806442,0.18729700116883,5,7.66129612922669
1,4,0.843021540277368,0.864887993397233,0.188193136268467,5,7.80030202865601
1,5,0.7220715835141,0.761755108012162,0.188994465662405,3,7.79992008209229
2,1,0.765432098765432,0.808202126945152,0.168560213449992,1,7.2040810585022
2,2,0.827468785471056,0.87813788494526,0.208993524586838,4,7.56632399559021
2,3,0.784189960925759,0.842150131302407,0.183733264607219,3,7.45361590385437
2,4,0.790162980209546,0.838299794644917,0.179676576684013,2,7.29044008255005
2,5,0.799896587383661,0.844269792884774,0.180380892459361,6,8.22434306144714
3,1,0.820630218152438,0.88139105597223,0.178652004363074,2,6.87523889541626
3,2,0.757841198078553,0.793849346732375,0.177426512573588,2,7.29335284233093
3,3,0.806596306068602,0.864107097387243,0.173772860365988,4,7.31077980995178
3,4,0.765435745937962,0.803152671832094,0.187311601665146,2,7.41081714630127
3,5,0.835196331327028,0.863686880455796,0.200402622530364,9,7.49043607711792
4,1,0.840455049944506,0.901130755755241,0.181579254037296,2,7.07169699668884
4,2,,,,0,7.57121706008911
4,3,0.764830508474576,0.821378914769366,0.173635918408764,2,7.51977610588074
4,4,0.748796147672552,0.793587299060855,0.174883023309531,1,7.61087393760681
4,5,0.812279670975323,0.863366740223842,0.184562227624558,2,7.45775198936462
5,1,0.830853994490358,0.880071248366308,0.18044650585907,5,7.4437050819397
5,2,0.791982665222102,0.834545889382093,0.174894600116481,1,7.5969409942627
5,3,0.756966388968687,0.813564799170046,0.187695968851816,2,7.6482400894165
5,4,0.808092485549133,0.882834223234508,0.184154736063204,4,6.79581093788147
5,5,0.775358324145535,0.822997492206773,0.178545954381764,2,7.21790885925293
