rep,fold,c_index,auc,brier,n_feat
1,1,0.749034749034749,0.332908067641673,0.257654822115626,25
1,2,0.736677115987461,0.775639535529441,0.224823805078446,8
1,3,0.665829145728643,0.682999099296931,0.227197157424093,19
1,4,0.619718309859155,0.611665358089855,0.288849571444168,16
1,5,0.588089330024814,0.626714727543614,0.244168690774415,32
2,1,0.599455040871935,0.444100559308784,0.220408617038881,12
2,2,0.589333333333333,0.622089675435243,0.179101242312903,6
2,3,0.609442060085837,0.677244206171765,0.292478889800326,18
2,4,0.470355731225297,0.510080419989307,0.187822917451773,20
2,5,0.641083521444695,0.647382652943287,0.154927526254653,26
3,1,0.823671497584541,0.82930984432473,0.23152128634963,25
3,2,0.728434504792332,0.806441115221914,0.2226166196633,24
3,3,0.559278350515464,0.369001274539068,0.174632807680931,4
3,4,0.708333333333333,0.723706450922401,0.339856439526259,18
3,5,0.585454545454545,0.617446866388725,0.301280258481347,30
4,1,0.725806451612903,0.816390839293594,0.244112611582281,24
4,2,0.619047619047619,0.685124824262103,0.213334355678935,19
4,3,0.550868486352357,0.452055138832575,0.182309150405005,22
4,4,0.713286713286713,0.766191457386977,0.408567406537578,21
4,5,0.73186119873817,0.729961967959538,0.233313093869908,18
5,1,0.667741935483871,0.394864411778466,0.247628604373032,19
5,2,0.630727762803235,0.596041281474951,0.177669308256868,17
5,3,0.737226277372263,0.737572234483744,0.305871611792996,34
5,4,0.697604790419162,0.791175884342626,0.231620017511611,16
5,5,0.588732394366197,0.631682514611316,0.259011638716344,25
