rep,fold,c_index,auc,brier,n_feat
1,1,0.687258687258687,0.418412504200557,0.204134751851848,14
1,2,0.727272727272727,0.757294822699012,0.196281496819472,4
1,3,0.695979899497487,0.700241250899317,0.214151859944897,30
1,4,0.619718309859155,0.605829830587352,0.205701562073276,11
1,5,0.590570719602978,0.62849648092039,0.215590088081508,39
2,1,0.708446866485014,0.684441041415027,0.269849566029207,33
2,2,0.656,0.693102194205797,0.214669306990616,44
2,3,0.592274678111588,0.337499563926695,0.289872876892835,28
2,4,0.50197628458498,0.459845303509174,0.198890318360017,8
2,5,0.604966139954853,0.403936848565705,0.15021271655824,13
3,1,0.816425120772947,0.823601593521927,0.225324020846257,32
3,2,0.715654952076677,0.782927758599353,0.213916866159732,30
3,3,0.63659793814433,0.725150962718905,0.22729154402707,41
3,4,0.708333333333333,0.706818755545343,0.257898590440345,20
3,5,0.581818181818182,0.637759960772373,0.283286106702561,35
4,1,0.698924731182796,0.795998648244214,0.258600991176953,36
4,2,0.60952380952381,0.668729521803295,0.202963247132702,23
4,3,0.588089330024814,0.59115743799515,0.170283192141428,28
4,4,0.695804195804196,0.743753092563471,0.400945855021229,36
4,5,0.725552050473186,0.711627382079532,0.217604824286921,26
5,1,0.716129032258064,0.380877599150279,0.283829462995414,31
5,2,0.619946091644205,0.564883749467816,0.168936468917806,5
5,3,0.766423357664234,0.763585630216884,0.303492117068403,37
5,4,0.70059880239521,0.791836789013759,0.210971722274758,19
5,5,0.583098591549296,0.633229011054265,0.221998573374691,28
