rep,fold,c_index,auc,brier,n_feat
1,1,0.596491228070175,0.633962652045531,0.36661573076867,37
1,2,0.628942486085343,0.639854308318472,0.263619887691394,12
1,3,0.68421052631579,0.714346264221576,0.338852497605789,17
1,4,0.477459016393443,0.570681932833023,0.229413529385275,21
1,5,0.561586638830898,0.600283607545335,0.309521647237296,36
2,1,0.585144927536232,0.628634815823103,0.345769591630437,30
2,2,0.598233995584989,0.604205572043867,0.332922851370559,43
2,3,0.627218934911243,0.635296792713017,0.307441971376861,45
2,4,0.45625,0.573532336233542,0.270003917514421,33
2,5,0.627118644067797,0.666751931398697,0.284857175179946,26
3,1,0.553571428571429,0.444133891305267,0.245486810990694,16
3,2,0.572769953051643,0.407149759214911,0.333625599738256,39
3,3,0.506302521008403,0.516159073703037,0.300600041975845,34
3,4,0.573236889692586,0.426080221960579,0.311036480420726,31
3,5,0.622983870967742,0.649780393720188,0.350411539899894,41
4,1,0.588865096359743,0.616844283608941,0.287724286562569,25
4,2,0.552915766738661,0.586870891470378,0.277202337030505,22
4,3,0.614203454894434,0.655612478569452,0.285986660353425,21
4,4,0.605825242718447,0.679535990986191,0.322189197344895,49
4,5,0.58433734939759,0.414398479519231,0.269535872050656,20
5,1,0.457983193277311,0.563784925483815,0.248327383020155,25
5,2,0.589251439539348,0.627083362712447,0.252877064170492,17
5,3,0.657079646017699,0.722884056158791,0.320368151598425,18
5,4,0.469902912621359,0.528706411300224,0.24627709670026,25
5,5,0.6232741617357,0.666243105688349,0.258861526900349,16
