rep,fold,c_index,auc,brier,n_feat
1,1,0.807142857142857,0.822316531320927,0.196214257232029,12
1,2,0.781690140845071,0.834298177722153,0.359102330803711,23
1,3,0.5,0.622676694776399,0.194184687278223,31
1,4,0.666666666666667,0.702987024027603,0.231559092217995,25
1,5,0.768421052631579,0.825345096154476,0.35887398614591,25
2,1,0.651612903225806,0.820339703446471,0.323074971742009,28
2,2,0.571428571428571,0.444076001970739,0.373891148474885,20
2,3,0.721518987341772,0.301074267417976,0.348621240701511,13
2,4,0.782352941176471,0.84469101858083,0.223476055460433,23
2,5,0.785185185185185,0.825426633872084,0.201762796475826,17
3,1,0.756410256410256,0.771273254753411,0.243256060301553,21
3,2,0.774509803921569,0.815877518546938,0.455379038974415,30
3,3,0.686567164179104,0.705335512183016,0.217333941997904,24
3,4,0.776595744680851,0.843484676336486,0.47580299964833,36
3,5,0.75609756097561,0.374201635594095,0.213189148664069,16
4,1,0.828571428571429,0.92021314505891,0.379204383107322,30
4,2,0.550847457627119,0.547668920068572,0.231238494570396,19
4,3,0.583941605839416,0.544706924625887,0.176673808239758,23
4,4,0.732673267326733,0.84525701021896,,30
4,5,0.773584905660377,0.785572553653614,0.209577235447666,20
5,1,0.603896103896104,0.449795025472193,0.17846810724229,23
5,2,0.758241758241758,0.816546364556569,0.377067507964797,34
5,3,0.840909090909091,0.45895456865984,0.343433377452529,21
5,4,0.737704918032787,0.78125899819054,0.340388402222731,39
5,5,0.820987654320988,0.764987793096935,0.221392984149146,36
