feature,coef
POMT1__promoter,-0.114979164884003
HSPG2__promoter,-0.10510550599814
C8orf4__promoter,-0.0861914075864699
PANK3__promoter,-0.0715456496907832
GGT1__promoter,-0.0573674446786467
FLJ35776__promoter,-0.045087286797179
KIAA0408__promoter,-0.0443426528923645
EDNRA__promoter,-0.0393078997580945
PCBD1__body,-0.0270919604685728
LRIT2__promoter,-0.0246884590762704
WDR70__body,-0.0246605153095687
HCN3__promoter,-0.0223957639113651
ZNF160__promoter,-0.0223365529834961
PSMC5__promoter,-0.020795617914426
TRIB1__promoter,-0.0191950455875165
LASP1__body,-0.015711949207719
TTC32__body,-0.0129415242273135
ZNF287__promoter,-0.0116246281934825
IPMK__body,-0.0103244707694273
MC2R__promoter,-0.00998403366788211
NARF__promoter,-0.00811174289719654
DCTN2__body,-0.00742587352726058
ZNF266__promoter,-0.00706831722292817
PRMT3__promoter,-0.00549693021038521
ZFP3__promoter,-0.000843152160882156
