feature,coef
POMT1__promoter,-0.175219728716344
HSPG2__promoter,-0.155071333374243
C8orf4__promoter,-0.124886761086212
PANK3__promoter,-0.107449319667427
EDNRA__promoter,-0.0736493796539439
GGT1__promoter,-0.0733682865237137
ZNF160__promoter,-0.0672809256023029
FLJ35776__promoter,-0.0664886394804188
PSMC5__promoter,-0.0602876818862315
KIAA0408__promoter,-0.0536412248084433
PCBD1__body,-0.0451938072155843
TTC32__body,-0.0432625727095487
ZNF287__promoter,-0.0330723477215703
TRIB1__promoter,-0.0302374311275462
LRIT2__promoter,-0.0254057043034145
ZNF266__promoter,-0.0243248200851036
HCN3__promoter,-0.0199791615290819
WDR70__body,-0.0197374511198241
PRMT3__promoter,-0.0168855020807633
EDN2__body,-0.0152546395655963
