feature,coef
RHOBTB3__promoter,-0.168144962494254
TRIM4__promoter,-0.155047457996331
SPP1__promoter,-0.137528063382885
HMGA2__promoter,-0.126183610692554
MIR1259__promoter,-0.0924025380717958
ZNF19__body,-0.0892807757479768
TMEM90B__body,-0.0877871071669598
POFUT1__promoter,-0.0749448061684701
RNF115__promoter,-0.0633425828296371
MIR1292__promoter,-0.0547968320338249
C1orf107__promoter,-0.0481989880778241
PF4__promoter,-0.0414063018239498
CNOT8__promoter,-0.0393626639753942
LOC285074__body,-0.0376961946941799
LOC440461__body,-0.0359509241579831
TPD52L2__body,-0.0340584799528346
ATHL1__promoter,-0.0333392172289537
ANKRD22__body,-0.031284221682134
ARIH1__promoter,-0.0295046445517674
SPAG4__body,-0.021760915230291
ASH1L__body,-0.0173730537711053
LRRC36__promoter,-0.0154627348112277
