feature,coef
TRMT61B__promoter,0.289988457864584
PRKAR2A__body,0.269691206990734
LHFPL5__body,-0.266841739570907
RDM1__body,-0.175963573548541
C20orf95__promoter,0.138093290386819
PHOSPHO1__body,0.130784032087629
FAM92B__body,-0.130180275971685
MIR1260__promoter,-0.125618137393429
KIF17__body,-0.120634177620021
DDTL__body,-0.105626972070351
SFRP5__body,0.0993455195992313
IKZF1__promoter,0.0987566411946648
APOLD1__promoter,-0.0919157139339251
PDGFRL__body,-0.0880293078081315
ACTB__body,0.0853596865053553
HOXC9__promoter,0.0803909879154432
FAM43B__promoter,0.076957010613587
NPW__body,0.0664392198034326
COL12A1__promoter,0.063982728239877
GSC2__promoter,0.0635754089856632
HES2__body,0.0583990137345018
CLIP3__promoter,-0.0476850190527888
PLEKHG2__body,-0.047479952220981
RANGAP1__body,-0.0465559544582887
ZDHHC5__body,-0.0371373387641774
KIAA1486__body,-0.0359925148284056
ID4__promoter,0.0333392516382281
UMODL1__promoter,-0.0246363581605201
ISG15__body,-0.0222989731501414
ZNF131__body,-0.0176767776143399
POGZ__promoter,-0.015852967491183
FOXRED2__promoter,-0.014082957298426
PCOLCE__body,0.00774346445180087
BATF3__body,0.00544521801251092
UNC5C__promoter,0.00403802009749002
B4GALNT2__promoter,0.00263984741442362
ERBB4__promoter,0.00168988565240535
SLC2A10__promoter,0.000977615222315851
