feature,coef
TRMT61B__promoter,0.421231887807153
LHFPL5__body,-0.388903645923603
PRKAR2A__body,0.371196010315301
RDM1__body,-0.183253896799097
HOXA7__promoter,0.156774405888419
C20orf95__promoter,0.153091146474591
KIF17__body,-0.151588330513272
MIR1260__promoter,-0.135792919672834
PDGFRL__body,-0.12675741401982
ISG15__body,-0.107317911763615
DDTL__body,-0.105446763461591
HOXC9__promoter,0.103094688625681
SFRP5__body,0.102968456775696
FAM92B__body,-0.0951134278603597
PHOSPHO1__body,0.0929112853451032
NPW__body,0.0893622483994941
IKZF1__promoter,0.0750732130955066
RANGAP1__body,-0.0726643710185026
HOXD11__promoter,0.0680403379320638
UMODL1__promoter,-0.0639349964363296
TAC1__body,0.0590483101402543
APOLD1__promoter,-0.051761663209862
PCOLCE__body,0.0450750040067732
GSC2__promoter,0.0444196325949459
FAM43B__promoter,0.0370103822285269
ZDHHC5__body,-0.0314753195140879
HES2__body,0.0275211068959602
CLIP3__promoter,-0.0251063496814551
ID4__promoter,0.0246164451133563
ACTB__body,0.0200161881292422
