CpG,gene,region,feature
cg00000029,RBL2,promoter,RBL2__promoter
cg00000109,FNDC3B,body,FNDC3B__body
cg00000321,SFRP1,promoter,SFRP1__promoter
cg00000622,NIPA2,promoter,NIPA2__promoter
cg00000658,MAN1B1,body,MAN1B1__body
cg00000714,TSEN34,body,TSEN34__body
cg00000721,LRRC16A,body,LRRC16A__body
cg00000734,CNBP,promoter,CNBP__promoter
cg00000769,DDX55,promoter,DDX55__promoter
cg00000884,TLR2,promoter,TLR2__promoter
cg00000905,FAM81A,body,FAM81A__body
cg00000924,KCNQ1,body,KCNQ1__body
cg00000957,NPHP4,body,NPHP4__body
cg00001099,PSKH2,body,PSKH2__body
cg00001245,MRPS25,promoter,MRPS25__promoter
cg00001364,PROX1,body,PROX1__body
cg00001446,ELOVL1,body,ELOVL1__body
cg00001534,FAF1,body,FAF1__body
cg00001582,LOC283050,promoter,LOC283050__promoter
cg00001583,NR5A2,body,NR5A2__body
cg00001594,ROCK2,promoter,ROCK2__promoter
cg00001687,CDK10,body,CDK10__body
cg00001791,TMEM182,body,TMEM182__body
cg00001793,ETV6,body,ETV6__body
cg00001854,DNAJA2,promoter,DNAJA2__promoter
cg00001874,ATOH7,promoter,ATOH7__promoter
cg00002028,PINK1,promoter,PINK1__promoter
cg00002033,LRFN1,body,LRFN1__body
cg00002080,RWDD2B,body,RWDD2B__body
cg00002145,COL6A3,body,COL6A3__body
cg00002224,C8orf31,promoter,C8orf31__promoter
cg00002236,RTTN,promoter,RTTN__promoter
cg00002406,CD2BP2,promoter,CD2BP2__promoter
cg00002426,SLMAP,promoter,SLMAP__promoter
cg00002473,CXCR2,promoter,CXCR2__promoter
cg00002490,MXD4,promoter,MXD4__promoter
cg00002531,SND1,promoter,SND1__promoter
cg00002591,MUSTN1,promoter,MUSTN1__promoter
cg00002593,TAS1R3,body,TAS1R3__body
cg00002646,S100A5,promoter,S100A5__promoter
cg00002719,C1orf114,promoter,C1orf114__promoter
cg00002749,TMEM49,body,TMEM49__body
cg00002808,C1orf65,promoter,C1orf65__promoter
cg00002809,DNAH17,body,DNAH17__body
cg00002810,DAB1,promoter,DAB1__promoter
cg00002930,NFKBIL1,promoter,NFKBIL1__promoter
cg00003014,BDH1,promoter,BDH1__promoter
cg00003091,SLBP,promoter,SLBP__promoter
cg00003173,CHCHD4,promoter,CHCHD4__promoter
cg00003202,RFX5,promoter,RFX5__promoter
cg00003287,TNNT2,promoter,TNNT2__promoter
cg00003298,LHX5,body,LHX5__body
cg00003345,CASZ1,promoter,CASZ1__promoter
cg00003513,CASZ1,promoter,CASZ1__promoter
cg00003529,C3orf16,promoter,C3orf16__promoter
cg00003625,WFIKKN2,promoter,WFIKKN2__promoter
cg00003784,CCDC45,promoter,CCDC45__promoter
cg00003858,RNF220,body,RNF220__body
cg00003965,RETNLB,promoter,RETNLB__promoter
cg00003994,MEOX2,promoter,MEOX2__promoter
cg00004067,TRANK1,body,TRANK1__body
cg00004072,ZFP36,body,ZFP36__body
cg00004082,SLC2A9,body,SLC2A9__body
cg00004089,MXRA7,body,MXRA7__body
cg00004105,LOXL4,body,LOXL4__body
cg00004207,SFRS7,body,SFRS7__body
cg00004257,CSMD2,body,CSMD2__body
cg00004421,EIF4A1,promoter,EIF4A1__promoter
cg00004429,EHMT1,body,EHMT1__body
cg00004562,CDSN,promoter,CDSN__promoter
cg00004700,FHL2,promoter,FHL2__promoter
cg00004806,AGPAT4,body,AGPAT4__body
cg00004818,AGA,promoter,AGA__promoter
cg00004883,LDHD,body,LDHD__body
cg00004939,C14orf181,promoter,C14orf181__promoter
cg00004963,LOC729176,promoter,LOC729176__promoter
cg00004979,SH2B3,body,SH2B3__body
cg00004996,MTMR7,promoter,MTMR7__promoter
cg00005040,RSPO3,promoter,RSPO3__promoter
cg00005083,TDRD6,promoter,TDRD6__promoter
cg00005112,WWP2,promoter,WWP2__promoter
cg00005164,GRAMD1A,body,GRAMD1A__body
cg00005166,OR1F2P,promoter,OR1F2P__promoter
cg00005215,SERPINB12,promoter,SERPINB12__promoter
cg00005306,SRCAP,promoter,SRCAP__promoter
cg00005437,DRG2,promoter,DRG2__promoter
cg00005543,TCTE3,promoter,TCTE3__promoter
cg00005619,FAM180B,body,FAM180B__body
cg00006032,GPHN,promoter,GPHN__promoter
cg00006081,HMX2,body,HMX2__body
cg00006090,PMFBP1,promoter,PMFBP1__promoter
cg00006122,C12orf44,promoter,C12orf44__promoter
cg00006198,TDRD10,promoter,TDRD10__promoter
cg00006397,NHLH1,promoter,NHLH1__promoter
cg00006414,ZNF425,promoter,ZNF425__promoter
cg00006626,NUP210L,promoter,NUP210L__promoter
cg00007032,MTUS2,promoter,MTUS2__promoter
cg00007036,ZNF362,body,ZNF362__body
cg00007064,LHX6,body,LHX6__body
cg00007076,RRS1,promoter,RRS1__promoter
cg00007221,PTPRF,promoter,PTPRF__promoter
cg00007226,PACS2,promoter,PACS2__promoter
cg00007239,C4orf39,promoter,C4orf39__promoter
cg00007269,ZNF77,promoter,ZNF77__promoter
cg00007300,LRRC16B,body,LRRC16B__body
cg00007324,ZBTB7A,body,ZBTB7A__body
cg00007326,CACNA1A,body,CACNA1A__body
cg00007420,C6orf168,body,C6orf168__body
cg00007466,ZNF358,body,ZNF358__body
cg00007675,LOC728024,promoter,LOC728024__promoter
cg00007898,DSTYK,promoter,DSTYK__promoter
cg00007981,PANX1,promoter,PANX1__promoter
cg00008036,FAM163A,promoter,FAM163A__promoter
cg00008345,PDE6D,body,PDE6D__body
cg00008387,TMEM188,promoter,TMEM188__promoter
cg00008446,NTRK1,body,NTRK1__body
cg00008452,APAF1,body,APAF1__body
cg00008612,DIAPH3,body,DIAPH3__body
cg00008621,HIF1A,body,HIF1A__body
cg00008629,ROD1,promoter,ROD1__promoter
cg00008647,FAIM3,body,FAIM3__body
cg00008665,C3orf39,promoter,C3orf39__promoter
cg00008671,FAM190B,promoter,FAM190B__promoter
cg00008737,LRRC4B,body,LRRC4B__body
cg00008810,DMRTB1,promoter,DMRTB1__promoter
cg00008971,MMACHC,promoter,MMACHC__promoter
cg00009001,MIR1178,promoter,MIR1178__promoter
cg00009088,VPS37C,promoter,VPS37C__promoter
cg00009214,DERA,body,DERA__body
cg00009293,AEBP1,body,AEBP1__body
cg00009364,PELI2,body,PELI2__body
cg00009407,TTC8,promoter,TTC8__promoter
cg00009412,DDX18,promoter,DDX18__promoter
cg00009421,ABCG5,promoter,ABCG5__promoter
cg00009553,CDH8,body,CDH8__body
cg00009750,CDK15,body,CDK15__body
cg00009871,LOC121952,promoter,LOC121952__promoter
cg00010046,MGC23284,promoter,MGC23284__promoter
cg00010168,MMS19,promoter,MMS19__promoter
cg00010266,MFSD3,promoter,MFSD3__promoter
cg00010445,RFX1,body,RFX1__body
cg00010654,HECTD3,body,HECTD3__body
cg00010742,BARHL2,promoter,BARHL2__promoter
cg00010789,NCL,promoter,NCL__promoter
cg00010853,KIAA1949,promoter,KIAA1949__promoter
cg00010946,SHOX2,body,SHOX2__body
cg00010947,HELQ,promoter,HELQ__promoter
cg00010992,TIGD2,promoter,TIGD2__promoter
cg00011122,C16orf75,promoter,C16orf75__promoter
cg00011225,WNT6,body,WNT6__body
cg00011247,YTHDF3,promoter,YTHDF3__promoter
cg00011284,RBL2,body,RBL2__body
cg00011350,MLL2,body,MLL2__body
cg00011459,TMEM186,promoter,TMEM186__promoter
cg00011460,RBM47,body,RBM47__body
cg00011482,PAX9,promoter,PAX9__promoter
cg00011578,PPP5C,promoter,PPP5C__promoter
cg00011754,GRIP2,promoter,GRIP2__promoter
cg00011856,IGFBP5,promoter,IGFBP5__promoter
cg00012148,TINAG,promoter,TINAG__promoter
cg00012199,ANG,promoter,ANG__promoter
cg00012203,ARPC2,promoter,ARPC2__promoter
cg00012238,CABYR,promoter,CABYR__promoter
cg00012317,FCGR1C,body,FCGR1C__body
cg00012362,S100A13,promoter,S100A13__promoter
cg00012386,JMJD4,promoter,JMJD4__promoter
cg00012397,KCNC1,promoter,KCNC1__promoter
cg00012529,GALNT9,body,GALNT9__body
cg00012576,GPC6,body,GPC6__body
cg00012692,GJB6,promoter,GJB6__promoter
cg00012762,SLC9A3R1,promoter,SLC9A3R1__promoter
cg00012920,FBF1,body,FBF1__body
cg00012992,PRKCH,promoter,PRKCH__promoter
cg00013006,OR52B4,promoter,OR52B4__promoter
cg00013349,ST6GALNAC3,body,ST6GALNAC3__body
cg00013374,TRIM56,promoter,TRIM56__promoter
cg00013409,EPHA10,promoter,EPHA10__promoter
cg00013410,MED13,promoter,MED13__promoter
cg00013441,CCDC62,promoter,CCDC62__promoter
cg00013451,STC1,body,STC1__body
cg00013475,DYSF,promoter,DYSF__promoter
cg00013655,PIGQ,body,PIGQ__body
cg00013733,DAZAP1,body,DAZAP1__body
cg00013804,ASAP2,body,ASAP2__body
cg00013809,PTPRN2,body,PTPRN2__body
cg00013899,CACHD1,body,CACHD1__body
cg00014085,ELMOD3,promoter,ELMOD3__promoter
cg00014104,MAPK1,body,MAPK1__body
cg00014112,GYPC,promoter,GYPC__promoter
cg00014203,KDM6B,promoter,KDM6B__promoter
cg00014272,SPPL2B,promoter,SPPL2B__promoter
cg00014301,TSSC1,body,TSSC1__body
cg00014445,PTPRF,body,PTPRF__body
cg00014837,ACRBP,promoter,ACRBP__promoter
cg00014986,ANAPC11,promoter,ANAPC11__promoter
cg00014996,USP14,promoter,USP14__promoter
cg00014998,HOXD4,promoter,HOXD4__promoter
cg00015024,CCNJ,promoter,CCNJ__promoter
cg00015319,FLJ12825,body,FLJ12825__body
cg00015530,PARP10,body,PARP10__body
cg00015639,NRL,promoter,NRL__promoter
cg00015770,QRFPR,promoter,QRFPR__promoter
cg00016127,OR8U8,promoter,OR8U8__promoter
cg00016156,NPM1,body,NPM1__body
